####################  Results for PCBA ####################
aid651965 accuracy: 0.710790259789, auc:0.754379317308
aid652025 accuracy: 0.971306498081, auc:0.85834949592
aid652104 accuracy: 0.719273292469, auc:0.787845905837
aid1469 accuracy: 0.982998044024, auc:0.906082967671
aid652105 accuracy: 0.809550315979, auc:0.862194611238
aid652106 accuracy: 0.90667625352, auc:0.763155194648
aid686970 accuracy: 0.733551540389, auc:0.799305511558
aid686978 accuracy: 0.69052317735, auc:0.754616856823
aid686979 accuracy: 0.685204761821, auc:0.747884403458
aid720504 accuracy: 0.659642201971, auc:0.710733715224
aid720532 accuracy: 0.736995339475, auc:0.803766735818
aid720542 accuracy: 0.925891876848, auc:0.870047664392
aid720551 accuracy: 0.739882049765, auc:0.657987268049
aid720553 accuracy: 0.724514596827, auc:0.725172012263

PCBA: Average Accuracy: 0.8462521347 Average AUC: 0.8106815528

      
